Day,Time,Temperature (°C),Wind speed (mph),Location (six-figure grid reference),New Column
Monday,16:00,13.2,7,207541,
Monday,16:15,13.0,6,206321,
Monday,16:30,12.9,6,206790,
Monday,16:45,12.8,5,206361,
Monday,17:00,12.7,5,207758,
Monday,17:15,12.5,5,206648,
Monday,17:30,12.4,7,207970,
Monday,17:45,12.3,5,207235,
Monday,18:00,12.2,7,207230,
Monday,18:15,12.0,6,206333,
Monday,18:30,11.9,7,206044,
Monday,18:45,11.8,7,206819,
Monday,19:00,11.7,6,207052,
Monday,19:15,11.5,5,205326,
Monday,19:30,11.4,5,205163,
Monday,19:45,11.3,5,207336,
Monday,20:00,11.1,7,206783,
Monday,20:15,11.0,5,206383,
Monday,20:30,10.9,5,206531,
Monday,20:45,10.8,6,205814,
Monday,21:00,10.6,7,205420,
Monday,21:15,10.5,7,206026,
Monday,21:30,10.4,7,207563,
Monday,21:45,10.3,5,206056,
Monday,22:00,10.1,7,206453,
Monday,22:15,10.0,5,207080,
Monday,22:30,9.9,6,205194,
Monday,22:45,9.8,7,206350,
Monday,23:00,9.6,5,206948,
Monday,23:15,9.5,5,206413,
Monday,23:30,9.4,6,205163,
Monday,23:45,9.3,6,206544,
Tuesday,00:00,8.0,6,206694,
Tuesday,00:15,8.1,6,206415,
Tuesday,00:30,8.3,7,206892,
Tuesday,00:45,8.4,7,207514,
Tuesday,01:00,8.5,6,206391,
Tuesday,01:15,8.6,7,206068,
Tuesday,01:30,8.8,6,206904,
Tuesday,01:45,8.9,5,206694,
Tuesday,02:00,9.0,5,207579,
Tuesday,02:15,9.1,5,207302,
Tuesday,02:30,9.3,7,205352,
Tuesday,02:45,9.4,7,207750,
Tuesday,03:00,9.5,6,207484,
Tuesday,03:15,9.6,7,207229,
Tuesday,03:30,9.8,5,207568,
Tuesday,03:45,9.9,5,205107,
Tuesday,04:00,10.0,5,205665,
Tuesday,04:15,10.1,5,207523,
Tuesday,04:30,10.3,7,206316,
Tuesday,04:45,10.4,7,207017,
Tuesday,05:00,10.5,5,205035,
Tuesday,05:15,10.7,6,206886,
Tuesday,05:30,10.8,5,206399,
Tuesday,05:45,10.9,5,207835,
Tuesday,06:00,11.0,6,207509,
Tuesday,06:15,11.2,6,205228,
Tuesday,06:30,11.3,7,207850,
Tuesday,06:45,11.4,6,207191,
Tuesday,07:00,11.5,5,205688,
Tuesday,07:15,11.7,6,206028,
Tuesday,07:30,11.8,7,205720,
Tuesday,07:45,11.9,6,206719,
Tuesday,08:00,12.0,6,205451,
Tuesday,08:15,12.2,7,206540,
Tuesday,08:30,12.3,6,207543,
Tuesday,08:45,12.4,5,206657,
Tuesday,09:00,12.5,7,206958,
Tuesday,09:15,12.7,5,206020,
Tuesday,09:30,12.8,7,206987,
Tuesday,09:45,12.9,5,206122,
Tuesday,10:00,13.1,6,206231,
Tuesday,10:15,13.2,6,205352,
Tuesday,10:30,13.3,7,205279,
Tuesday,10:45,13.4,5,207100,
Tuesday,11:00,13.6,6,207829,
Tuesday,11:15,13.7,7,205883,
Tuesday,11:30,13.8,7,206987,
Tuesday,11:45,13.9,7,205968,
Tuesday,12:00,13.9,5,207968,
Tuesday,12:15,13.8,6,207490,
Tuesday,12:30,13.7,6,206112,
Tuesday,12:45,13.6,6,205476,
Tuesday,13:00,13.4,5,205136,
Tuesday,13:15,13.3,5,205141,
Tuesday,13:30,13.2,5,207343,
Tuesday,13:45,13.1,7,207740,
Tuesday,14:00,12.9,6,205246,
Tuesday,14:15,12.8,5,205257,
Tuesday,14:30,12.7,6,205949,
Tuesday,14:45,12.5,5,207769,
Tuesday,15:00,12.4,7,206089,
Tuesday,15:15,12.3,7,207469,
Tuesday,15:30,12.2,5,205448,
Tuesday,15:45,12.0,6,206397,
Tuesday,16:00,11.9,5,206467,
Tuesday,16:15,11.8,5,206705,
Tuesday,16:30,11.7,6,206909,
Tuesday,16:45,11.5,5,205544,
Tuesday,17:00,11.4,5,205963,
Tuesday,17:15,11.3,7,206457,
Tuesday,17:30,11.2,5,207074,
Tuesday,17:45,11.0,6,207295,
Tuesday,18:00,10.9,5,206824,
Tuesday,18:15,10.8,7,207469,
Tuesday,18:30,10.7,7,205895,
Tuesday,18:45,10.5,6,205254,
Tuesday,19:00,10.4,6,206670,
Tuesday,19:15,10.3,7,205689,
Tuesday,19:30,10.1,6,206971,
Tuesday,19:45,10.0,5,206367,
Tuesday,20:00,9.9,6,207415,
Tuesday,20:15,9.8,7,207375,
Tuesday,20:30,9.6,7,207052,
Tuesday,20:45,9.5,5,206717,
Tuesday,21:00,9.4,7,207292,
Tuesday,21:15,9.3,5,207509,
Tuesday,21:30,9.1,5,206558,
Tuesday,21:45,9.0,5,206244,
Tuesday,22:00,8.9,6,206513,
Tuesday,22:15,8.8,7,207203,
Tuesday,22:30,8.6,7,205234,
Tuesday,22:45,8.5,5,206373,
Tuesday,23:00,8.4,6,207680,
Tuesday,23:15,8.3,6,206609,
Tuesday,23:30,8.1,5,206092,
Tuesday,23:45,8.0,7,206612,
Wednesday,00:00,8.5,5,207975,
Wednesday,00:15,8.7,5,207352,
Wednesday,00:30,8.8,7,206185,
Wednesday,00:45,9.0,5,205982,
Wednesday,01:00,9.1,5,205621,
Wednesday,01:15,9.3,5,206963,
Wednesday,01:30,9.4,6,207546,
Wednesday,01:45,9.6,5,205341,
Wednesday,02:00,9.8,7,205096,
Wednesday,02:15,9.9,6,207435,
Wednesday,02:30,10.1,5,206285,
Wednesday,02:45,10.2,6,206162,
Wednesday,03:00,10.4,7,207716,
Wednesday,03:15,10.6,6,205153,
Wednesday,03:30,10.7,7,206630,
Wednesday,03:45,10.9,6,206592,
Wednesday,04:00,11.0,5,207012,
Wednesday,04:15,11.2,6,207557,
Wednesday,04:30,11.3,7,207564,
Wednesday,04:45,11.5,7,207052,
Wednesday,05:00,11.7,6,205193,
Wednesday,05:15,11.8,6,205740,
Wednesday,05:30,12.0,5,206214,
Wednesday,05:45,12.1,5,205080,
Wednesday,06:00,12.3,7,206799,
Wednesday,06:15,12.4,7,207842,
Wednesday,06:30,12.6,6,207757,
Wednesday,06:45,12.8,6,207040,
Wednesday,07:00,12.9,7,206783,
Wednesday,07:15,13.1,7,207844,
Wednesday,07:30,13.2,6,206459,
Wednesday,07:45,13.4,5,205480,
Wednesday,08:00,13.6,6,207488,
Wednesday,08:15,13.7,5,207208,
Wednesday,08:30,13.9,6,206453,
Wednesday,08:45,14.0,5,205821,
Wednesday,09:00,14.2,6,206206,
Wednesday,09:15,14.3,5,205993,
Wednesday,09:30,14.5,5,207400,
Wednesday,09:45,14.7,5,206628,
Wednesday,10:00,14.8,5,207658,
Wednesday,10:15,15.0,5,206052,
Wednesday,10:30,15.1,7,206098,
Wednesday,10:45,15.3,6,205746,
Wednesday,11:00,15.4,7,206551,
Wednesday,11:15,15.6,7,206629,
Wednesday,11:30,15.8,7,207278,
Wednesday,11:45,15.9,6,206007,
Wednesday,12:00,15.9,7,207847,
Wednesday,12:15,15.8,6,207932,
Wednesday,12:30,15.6,5,205923,
Wednesday,12:45,15.4,5,206382,
Wednesday,13:00,15.3,7,205224,
Wednesday,13:15,15.1,6,207152,
Wednesday,13:30,15.0,5,205655,
Wednesday,13:45,14.8,7,206204,
Wednesday,14:00,14.7,7,205636,
Wednesday,14:15,14.5,6,207250,
Wednesday,14:30,14.3,7,206830,
Wednesday,14:45,14.2,7,207081,
Wednesday,15:00,14.0,5,207410,
Wednesday,15:15,13.9,6,207932,
Wednesday,15:30,13.7,7,207019,
Wednesday,15:45,13.6,5,207442,
Wednesday,16:00,13.4,7,205221,
Wednesday,16:15,13.2,6,207360,
Wednesday,16:30,13.1,7,206671,
Wednesday,16:45,12.9,7,207033,
Wednesday,17:00,12.8,7,207898,
Wednesday,17:15,12.6,5,205887,
Wednesday,17:30,12.4,6,206140,
Wednesday,17:45,12.3,7,207463,
Wednesday,18:00,12.1,5,206983,
Wednesday,18:15,12.0,6,206591,
Wednesday,18:30,11.8,6,205716,
Wednesday,18:45,11.7,6,207320,
Wednesday,19:00,11.5,6,206954,
Wednesday,19:15,11.3,6,207715,
Wednesday,19:30,11.2,6,205007,
Wednesday,19:45,11.0,5,206587,
Wednesday,20:00,10.9,7,206230,
Wednesday,20:15,10.7,7,207833,
Wednesday,20:30,10.6,7,206042,
Wednesday,20:45,10.4,7,206323,
Wednesday,21:00,10.2,7,207550,
Wednesday,21:15,10.1,6,206011,
Wednesday,21:30,9.9,7,205014,
Wednesday,21:45,9.8,6,207611,
Wednesday,22:00,9.6,7,206562,
Wednesday,22:15,9.4,6,205331,
Wednesday,22:30,9.3,5,205314,
Wednesday,22:45,9.1,5,207313,
Wednesday,23:00,9.0,7,207245,
Wednesday,23:15,8.8,5,205708,
Wednesday,23:30,8.7,6,205119,
Wednesday,23:45,8.5,5,205180,
Thursday,00:00,8.4,7,206023,
Thursday,00:15,8.5,7,207255,
Thursday,00:30,8.7,6,207281,
Thursday,00:45,8.8,5,206190,
Thursday,01:00,8.9,6,207383,
Thursday,01:15,9.1,5,205556,
Thursday,01:30,9.2,6,207161,
Thursday,01:45,9.3,7,207293,
Thursday,02:00,9.5,6,205827,
Thursday,02:15,9.6,7,205181,
Thursday,02:30,9.7,5,205429,
Thursday,02:45,9.9,6,207366,
Thursday,03:00,10.0,6,205222,
Thursday,03:15,10.1,7,205392,
Thursday,03:30,10.3,6,205690,
Thursday,03:45,10.4,6,206573,
Thursday,04:00,10.5,7,206395,
Thursday,04:15,10.7,7,206870,
Thursday,04:30,10.8,7,205445,
Thursday,04:45,10.9,7,205924,
Thursday,05:00,11.1,6,206061,
Thursday,05:15,11.2,7,205144,
Thursday,05:30,11.3,7,207824,
Thursday,05:45,11.5,6,207920,
Thursday,06:00,11.6,7,206150,
Thursday,06:15,11.7,7,205750,
Thursday,06:30,11.8,6,206740,
Thursday,06:45,12.0,7,207858,
Thursday,07:00,12.1,5,205677,
Thursday,07:15,12.2,5,207970,
Thursday,07:30,12.4,5,206651,
Thursday,07:45,12.5,6,207213,
Thursday,08:00,12.6,6,207430,
Thursday,08:15,12.8,5,206707,
Thursday,08:30,12.9,6,206075,
Thursday,08:45,13.0,5,205192,
Thursday,09:00,13.2,6,207302,
Thursday,09:15,13.3,6,206295,
Thursday,09:30,13.4,7,206579,
Thursday,09:45,13.6,7,207499,
Thursday,10:00,13.7,5,206693,
Thursday,10:15,13.8,5,205733,
Thursday,10:30,14.0,5,207311,
Thursday,10:45,14.1,6,206418,
Thursday,11:00,14.2,5,205371,
Thursday,11:15,14.4,7,206868,
Thursday,11:30,14.5,6,206369,
Thursday,11:45,14.6,7,205928,
Thursday,12:00,14.6,6,207362,
Thursday,12:15,14.5,6,207409,
Thursday,12:30,14.4,7,205353,
Thursday,12:45,14.2,5,206658,
Thursday,13:00,14.1,7,207901,
Thursday,13:15,14.0,7,205067,
Thursday,13:30,13.8,7,206682,
Thursday,13:45,13.7,6,207722,
Thursday,14:00,13.6,6,206188,
Thursday,14:15,13.4,7,206772,
Thursday,14:30,13.3,5,206712,
Thursday,14:45,13.2,7,205245,
Thursday,15:00,13.0,7,205681,
Thursday,15:15,12.9,7,205326,
Thursday,15:30,12.8,7,206187,
Thursday,15:45,12.6,7,206832,
Thursday,16:00,12.5,5,205767,
Thursday,16:15,12.4,7,205883,
Thursday,16:30,12.2,5,205412,
Thursday,16:45,12.1,5,205691,
Thursday,17:00,12.0,7,207314,
Thursday,17:15,11.8,5,207080,
Thursday,17:30,11.7,7,206517,
Thursday,17:45,11.6,7,207016,
Thursday,18:00,11.5,5,205926,
Thursday,18:15,11.3,5,205151,
Thursday,18:30,11.2,6,206798,
Thursday,18:45,11.1,7,206177,
Thursday,19:00,10.9,5,207156,
Thursday,19:15,10.8,7,206910,
Thursday,19:30,10.7,7,207853,
Thursday,19:45,10.5,6,207521,
Thursday,20:00,10.4,5,206680,
Thursday,20:15,10.3,6,207205,
Thursday,20:30,10.1,5,207980,
Thursday,20:45,10.0,5,207058,
Thursday,21:00,9.9,6,206422,
Thursday,21:15,9.7,5,205942,
Thursday,21:30,9.6,5,207420,
Thursday,21:45,9.5,6,207533,
Thursday,22:00,9.3,5,207936,
Thursday,22:15,9.2,7,206498,
Thursday,22:30,9.1,5,207100,
Thursday,22:45,8.9,6,206556,
Thursday,23:00,8.8,5,205749,
Thursday,23:15,8.7,6,205516,
Thursday,23:30,8.5,6,206966,
Thursday,23:45,8.4,7,206934,
Friday,00:00,8.3,7,207840,
Friday,00:15,8.4,7,207210,
Friday,00:30,8.5,5,207831,
Friday,00:45,8.7,5,207584,
Friday,01:00,8.8,5,206174,
Friday,01:15,8.9,5,205812,
Friday,01:30,9.0,5,206904,
Friday,01:45,9.1,5,205504,
Friday,02:00,9.3,7,207600,
Friday,02:15,9.4,7,207805,
Friday,02:30,9.5,5,205475,
Friday,02:45,9.6,5,207336,
Friday,03:00,9.7,7,207085,
Friday,03:15,9.9,6,206868,
Friday,03:30,10.0,5,207277,
Friday,03:45,10.1,7,206325,
Friday,04:00,10.2,6,207537,
Friday,04:15,10.3,6,206863,
Friday,04:30,10.5,6,205325,
Friday,04:45,10.6,6,205236,
Friday,05:00,10.7,5,207800,
Friday,05:15,10.8,7,205303,
Friday,05:30,10.9,7,207296,
Friday,05:45,11.1,7,207492,
Friday,06:00,11.2,6,206987,
Friday,06:15,11.3,6,206315,
Friday,06:30,11.4,7,207143,
Friday,06:45,11.5,5,207645,
Friday,07:00,11.7,7,205669,
Friday,07:15,11.8,5,207541,
Friday,07:30,11.9,7,206474,
Friday,07:45,12.0,7,206603,
Friday,08:00,12.1,6,205378,
Friday,08:15,12.3,6,206713,
Friday,08:30,12.4,7,207462,
Friday,08:45,12.5,7,206346,
Friday,09:00,12.6,5,206571,
Friday,09:15,12.7,7,207856,
Friday,09:30,12.9,5,207919,
Friday,09:45,13.0,6,205414,
Friday,10:00,13.1,5,205369,
Friday,10:15,13.2,5,205988,
Friday,10:30,13.3,5,206243,
Friday,10:45,13.5,7,205415,
Friday,11:00,13.6,5,207053,
Friday,11:15,13.7,6,207293,
Friday,11:30,13.8,5,205830,
Friday,11:45,13.9,6,205267,
Friday,12:00,13.9,7,205687,
Friday,12:15,13.8,7,206004,
Friday,12:30,13.7,6,207659,
Friday,12:45,13.6,6,205348,
Friday,13:00,13.5,6,207776,
Friday,13:15,13.3,6,206624,
Friday,13:30,13.2,5,205685,
Friday,13:45,13.1,5,207964,
Friday,14:00,13.0,7,205856,
Friday,14:15,12.9,5,206474,
Friday,14:30,12.7,6,205011,
Friday,14:45,12.6,6,207311,
Friday,15:00,12.5,5,205855,
Friday,15:15,12.4,6,206597,
Friday,15:30,12.3,5,205875,
Friday,15:45,12.1,7,206314,
Friday,16:00,12.0,5,205623,
Friday,16:15,11.9,7,206637,
Friday,16:30,11.8,6,206176,
Friday,16:45,11.7,5,207199,
Friday,17:00,11.5,5,206597,
Friday,17:15,11.4,7,206446,
Friday,17:30,11.3,6,206378,
Friday,17:45,11.2,5,205957,
Friday,18:00,11.1,5,205110,
Friday,18:15,10.9,7,206726,
Friday,18:30,10.8,5,206453,
Friday,18:45,10.7,6,207436,
Friday,19:00,10.6,7,205157,
Friday,19:15,10.5,7,205520,
Friday,19:30,10.3,6,207550,
Friday,19:45,10.2,6,205832,
Friday,20:00,10.1,7,207909,
Friday,20:15,10.0,7,205997,
Friday,20:30,9.9,7,206180,
Friday,20:45,9.7,7,207932,
Friday,21:00,9.6,7,207702,
Friday,21:15,9.5,5,205186,
Friday,21:30,9.4,6,207989,
Friday,21:45,9.3,7,206552,
Friday,22:00,9.1,7,206016,
Friday,22:15,9.0,5,205017,
Friday,22:30,8.9,7,207623,
Friday,22:45,8.8,7,207657,
Friday,23:00,8.7,5,206241,
Friday,23:15,8.5,7,207839,
Friday,23:30,8.4,7,207665,
Friday,23:45,8.3,6,205431,
Saturday,00:00,9.1,5,205287,
Saturday,00:15,9.2,5,205461,
Saturday,00:30,9.4,5,206181,
Saturday,00:45,9.5,7,205241,
Saturday,01:00,9.7,5,206480,
Saturday,01:15,9.8,7,206627,
Saturday,01:30,10.0,5,206287,
Saturday,01:45,10.1,5,206678,
Saturday,02:00,10.3,6,206885,
Saturday,02:15,10.4,5,207459,
Saturday,02:30,10.6,5,205757,
Saturday,02:45,10.7,7,207866,
Saturday,03:00,10.8,7,205144,
Saturday,03:15,11.0,7,205529,
Saturday,03:30,11.1,5,206274,
Saturday,03:45,11.3,5,207505,
Saturday,04:00,11.4,6,207198,
Saturday,04:15,11.6,5,205893,
Saturday,04:30,11.7,6,206087,
Saturday,04:45,11.9,6,205957,
Saturday,05:00,12.0,5,207542,
Saturday,05:15,12.2,7,205243,
Saturday,05:30,12.3,5,207782,
Saturday,05:45,12.4,5,207351,
Saturday,06:00,12.6,5,207668,
Saturday,06:15,12.7,7,206623,
Saturday,06:30,12.9,6,207803,
Saturday,06:45,13.0,6,207103,
Saturday,07:00,13.2,5,205306,
Saturday,07:15,13.3,6,205770,
Saturday,07:30,13.5,6,206550,
Saturday,07:45,13.6,5,205681,
Saturday,08:00,13.7,6,207007,
Saturday,08:15,13.9,7,207556,
Saturday,08:30,14.0,5,205750,
Saturday,08:45,14.2,5,205887,
Saturday,09:00,14.3,6,206368,
Saturday,09:15,14.5,5,207725,
Saturday,09:30,14.6,6,205730,
Saturday,09:45,14.8,7,206552,
Saturday,10:00,14.9,5,206069,
Saturday,10:15,15.1,5,206573,
Saturday,10:30,15.2,5,207945,
Saturday,10:45,15.3,6,207488,
Saturday,11:00,15.5,7,205899,
Saturday,11:15,15.6,5,205754,
Saturday,11:30,15.8,6,206555,
Saturday,11:45,15.9,6,205046,
Saturday,12:00,15.9,7,205436,
Saturday,12:15,15.8,7,206161,
Saturday,12:30,15.6,5,205430,
Saturday,12:45,15.5,5,207721,
Saturday,13:00,15.3,7,207055,
Saturday,13:15,15.2,6,207339,
Saturday,13:30,15.1,5,205148,
Saturday,13:45,14.9,6,205007,
Saturday,14:00,14.8,6,205675,
Saturday,14:15,14.6,7,207105,
Saturday,14:30,14.5,7,205617,
Saturday,14:45,14.3,7,205924,
Saturday,15:00,14.2,6,207702,
Saturday,15:15,14.0,7,206310,
Saturday,15:30,13.9,6,207651,
Saturday,15:45,13.7,5,206427,
Saturday,16:00,13.6,5,205405,
Saturday,16:15,13.5,5,205642,
Saturday,16:30,13.3,6,207983,
Saturday,16:45,13.2,5,207326,
Saturday,17:00,13.0,5,205131,
Saturday,17:15,12.9,7,205081,
Saturday,17:30,12.7,6,206018,
Saturday,17:45,12.6,6,205637,
Saturday,18:00,12.4,6,205754,
Saturday,18:15,12.3,5,207146,
Saturday,18:30,12.2,6,207986,
Saturday,18:45,12.0,5,206891,
Saturday,19:00,11.9,7,205369,
Saturday,19:15,11.7,7,206271,
Saturday,19:30,11.6,6,206711,
Saturday,19:45,11.4,6,207956,
Saturday,20:00,11.3,7,206838,
Saturday,20:15,11.1,5,205587,
Saturday,20:30,11.0,6,206515,
Saturday,20:45,10.8,7,206744,
Saturday,21:00,10.7,5,206431,
Saturday,21:15,10.6,6,205294,
Saturday,21:30,10.4,7,205099,
Saturday,21:45,10.3,7,205731,
Saturday,22:00,10.1,6,207823,
Saturday,22:15,10.0,5,207711,
Saturday,22:30,9.8,6,207004,
Saturday,22:45,9.7,6,206553,
Saturday,23:00,9.5,6,207569,
Saturday,23:15,9.4,7,205011,
Saturday,23:30,9.2,6,207306,
Saturday,23:45,9.1,6,207380,
Sunday,00:00,9.5,5,206280,
Sunday,00:15,9.7,5,207967,
Sunday,00:30,9.8,5,205478,
Sunday,00:45,10.0,6,205505,
Sunday,01:00,10.1,5,207631,
Sunday,01:15,10.3,5,206310,
Sunday,01:30,10.4,6,206800,
Sunday,01:45,10.6,5,206440,
Sunday,02:00,10.8,7,207175,
Sunday,02:15,10.9,7,207617,
Sunday,02:30,11.1,7,206344,
Sunday,02:45,11.2,7,206269,
Sunday,03:00,11.4,7,205491,
Sunday,03:15,11.6,6,205818,
Sunday,03:30,11.7,6,205732,
Sunday,03:45,11.9,5,205025,
Sunday,04:00,12.0,6,205393,
Sunday,04:15,12.2,5,207877,
Sunday,04:30,12.3,6,205896,
Sunday,04:45,12.5,5,207705,
Sunday,05:00,12.7,5,206938,
Sunday,05:15,12.8,6,207765,
Sunday,05:30,13.0,7,206124,
Sunday,05:45,13.1,6,206872,
Sunday,06:00,13.3,6,207114,
Sunday,06:15,13.4,5,205687,
Sunday,06:30,13.6,6,207525,
Sunday,06:45,13.8,7,207201,
Sunday,07:00,13.9,5,206189,
Sunday,07:15,14.1,7,207970,
Sunday,07:30,14.2,7,207664,
Sunday,07:45,14.4,6,207050,
Sunday,08:00,14.6,6,205970,
Sunday,08:15,14.7,7,205713,
Sunday,08:30,14.9,7,207003,
Sunday,08:45,15.0,6,207080,
Sunday,09:00,15.2,6,207869,
Sunday,09:15,15.3,5,205404,
Sunday,09:30,15.5,6,206558,
Sunday,09:45,15.7,7,206655,
Sunday,10:00,15.8,7,207158,
Sunday,10:15,16.0,7,205189,
Sunday,10:30,16.1,5,205869,
Sunday,10:45,16.3,7,206589,
Sunday,11:00,16.4,6,207846,
Sunday,11:15,16.6,5,207637,
Sunday,11:30,16.8,5,205598,
Sunday,11:45,16.9,7,205500,
Sunday,12:00,16.9,5,206068,
Sunday,12:15,16.8,5,206161,
Sunday,12:30,16.6,6,206394,
Sunday,12:45,16.4,6,206732,
Sunday,13:00,16.3,5,205226,
Sunday,13:15,16.1,7,207053,
Sunday,13:30,16.0,6,205311,
Sunday,13:45,15.8,7,205509,
Sunday,14:00,15.7,7,207832,
Sunday,14:15,15.5,6,207724,
Sunday,14:30,15.3,5,207158,
Sunday,14:45,15.2,7,207385,
Sunday,15:00,15.0,6,207850,
Sunday,15:15,14.9,6,206698,
Sunday,15:30,14.7,6,205564,
Sunday,15:45,14.6,6,205447,
Sunday,16:00,14.4,7,206781,
Sunday,16:15,14.2,5,206183,
Sunday,16:30,14.1,5,206959,
Sunday,16:45,13.9,6,206921,
Sunday,17:00,13.8,5,206262,
Sunday,17:15,13.6,7,206614,
Sunday,17:30,13.4,7,207115,
Sunday,17:45,13.3,7,205324,
Sunday,18:00,13.1,5,205037,
Sunday,18:15,13.0,7,207511,
Sunday,18:30,12.8,6,206813,
Sunday,18:45,12.7,7,205903,
Sunday,19:00,12.5,6,207822,
Sunday,19:15,12.3,5,207427,
Sunday,19:30,12.2,7,207983,
Sunday,19:45,12.0,6,207138,
Sunday,20:00,11.9,5,207123,
Sunday,20:15,11.7,6,205702,
Sunday,20:30,11.6,7,206539,
Sunday,20:45,11.4,5,205795,
Sunday,21:00,11.2,7,206586,
Sunday,21:15,11.1,7,206835,
Sunday,21:30,10.9,6,207812,
Sunday,21:45,10.8,5,207732,
Sunday,22:00,10.6,7,206803,
Sunday,22:15,10.4,7,205962,
Sunday,22:30,10.3,7,205711,
Sunday,22:45,10.1,5,205127,
Sunday,23:00,10.0,5,206525,
Sunday,23:15,9.8,5,205512,
Sunday,23:30,9.7,7,206101,
Sunday,23:45,9.5,5,206436,
